Charge Type,Charge Description,row_count,total_value,Major Category,Subcategory,Method
Security Surcharge Greater of (Min Rate EUR 328 Kilogram(s) @ EUR 0;10/KG),Security Surcharge Greater of (Min Rate EUR 328 Kilogram(s) @ EUR 0;10/KG),1,32.8,Accessorial / Delivery Surcharge,Security Surcharge,rule
Security Surcharge Greater of (Min Rate EUR 95;5 Kilogram(s) @ EUR 0;10/KG),Security Surcharge Greater of (Min Rate EUR 95;5 Kilogram(s) @ EUR 0;10/KG),1,9.55,Accessorial / Delivery Surcharge,Security Surcharge,rule
Security Surcharge ,Security Surcharge ,1,30.8,Accessorial / Delivery Surcharge,Security Surcharge,rule
Security surcharge,Security surcharge,2,90.0,Accessorial / Delivery Surcharge,Security Surcharge,rule
Security surcharge 0,Security surcharge 0,5,225.0,Accessorial / Delivery Surcharge,Security Surcharge,rule
Security surcharge ,Security surcharge ,2,90.0,Accessorial / Delivery Surcharge,Security Surcharge,rule
Service Charge,Service Charge,90,3469.0,Other / Uncategorized,Unclassified,none
Setup Clearance,Setup Clearance,4,224.0,Other / Uncategorized,Unclassified,none
Shipping Charge Correction 2nd Day Air,Shipping Charge Correction 2nd Day Air,90,731.65,Administrative & Service Fees,Billing Adjustment / Correction,rule
Shipping Charge Correction 2nd Day Air A.M.,Shipping Charge Correction 2nd Day Air A.M.,3,97.84,Administrative & Service Fees,Billing Adjustment / Correction,rule
Shipping Charge Correction 3 Day Select,Shipping Charge Correction 3 Day Select,12,452.28000000000003,Administrative & Service Fees,Billing Adjustment / Correction,rule
Shipping Charge Correction Additional Handling,Shipping Charge Correction Additional Handling,90,1614.37,Accessorial / Delivery Surcharge,Additional Handling,rule
Shipping Charge Correction Additional Handling - Cubic Volume,Shipping Charge Correction Additional Handling - Cubic Volume,23,824.75,Accessorial / Delivery Surcharge,Additional Handling,rule
Shipping Charge Correction Additional Handling - Length+Girth,Shipping Charge Correction Additional Handling - Length+Girth,24,86.13,Accessorial / Delivery Surcharge,Additional Handling,rule
Shipping Charge Correction Addl. Handling weight,Shipping Charge Correction Addl. Handling weight,4,-82.25,Administrative & Service Fees,Billing Adjustment / Correction,rule
Shipping Charge Correction Demand Surcharge-Addl Handling,Shipping Charge Correction Demand Surcharge-Addl Handling,30,90.0,Accessorial / Delivery Surcharge,Additional Handling,rule
Shipping Charge Correction Expedited,Shipping Charge Correction Expedited,2,-9.44,Administrative & Service Fees,Billing Adjustment / Correction,rule
Shipping Charge Correction Express,Shipping Charge Correction Express,19,221.47,Administrative & Service Fees,Billing Adjustment / Correction,rule
Shipping Charge Correction Express Early,Shipping Charge Correction Express Early,2,144.2,Administrative & Service Fees,Billing Adjustment / Correction,rule
Shipping Charge Correction Express Saver,Shipping Charge Correction Express Saver,4,27.7,Administrative & Service Fees,Billing Adjustment / Correction,rule
Shipping Charge Correction Fuel Surcharge,Shipping Charge Correction Fuel Surcharge,4929,4833.13,Fuel Surcharge,Fuel Surcharge Correction,rule
